,term
0,uncategorized
1,7S
2,AlOx
3,C50
4,1-decyl-2-methyl-3-octadecylimidazolium bromide
5,2-(acryloyloxy)ethyl-trimethylammonium chloride
6,MEKP
7,11S
8,ZrP nanoplatelets
9,ZrP-100
10,TiO2
11,K2
12,1-methyl-2-pyrrolidinone
13,BUR
14,3-glycidyloxypropyltrimethoxysilane
15,(acryloyloxy) ethyl alkylammonium cations
16,ZrP-1000
17,DGEBA
18,hydroxyl
19,3-aminopropyltriethoxysilane
20,"4,4’-diaminodiphenyl sulfone"
21,TMCS modified MCM-41 silica
22,TMCS MCM-41
23,PSF
24,UE400
25,NaOH
26,TMCS
27,MCM41/PSF
28,M2(HT)2-140
29,CL-UE400
30,"2,2- azobisisobutyronitrile"
31,"4,4’-Diphenylmethane diisocyanate"
32,NMP
33,H2SO4
34,MMA
35,AIBN
36,C20H42N2O5S
37,PE-g-MA
38,vitamin C
39,2–2-diphenyl-1-picryhydrazyl
40,CL120-K2
41,MCM-41
42,1-decyl-2-methylimidazole
43,TiO2/HDPE
44,CHCl3
45,1-methyl-2-pyrrolidone
46,α-tocopherol
47,C16H33(CH3)3NBr
48,"1,4-Butanediol"
49,"1,4-Butanediol"
50,Solvent
51,aqueous ethanol
52,Ethanol
53,lactide monomer
54,ethyl alcohol
55,deionised water
56,Anhydrous chloroform
57,plasticisers
58,hydroalcoholic acid chitosan solution
59,neutral detergent fibres
60,degassed distilled and deionized water
61,distilled water
62,Olive pomace
63,Chloroform
64,hot water
65,Component
66,ethylene glycol
67,cocamidopropylhydroxysultaine
68,PU/CL-UE400S60
69,tetraethoxysilane
70,PMMA nanocomposites
71,amylose
72,amylopectin
73,Sorbitol
74,Dimethyl formamide
75,Dimethyl formamide
76,Dimethyl formamide
77,pectin
78,Raw bananas cv.
79,Lignocellulosic fibres
80,"Two-tailed quaternary ammonium surfactant, dimethyl bis (hydrogenated-tallow) ammonium chloride"
81,polymer
82,polymers of intrinsic microporosity
83,Polymerization
84,polymer of intrinsic microporosity
85,nano SiC
86,zinc acetate
87,nano boron nitride
88,titanium dioxide
89,methyl tallow bis-2-hydroxyethyl quaternary ammonium chloride
90,Nanoclay
91,nano-clay solution
92,Hexamethylene diisocyanate
93,Hexamethylene diisocyanate
94,Hexamethylene diisocyanate
95,Silicon
96,silicon carbide loading
97,Silicon Carbide nano
98,silicon carbide
99,clear PET bottle
100,chlorophyll
101,dried composite
102,PSF MMMs
103,silver
104,silver nanoparticles
105,Glycerol
106,montmorillonite layered silicate
107,A. pavonina
108,A. pavonina galactomannan
109,hydrolysis of tetraethoxysilane
110,Silica
111,Silica nano particles
112,Silica nano particles
113,Silica particles
114,methacrylate monomer
115,boron nitride
116,Isplen
117,Sodium chloride
118,SSPS
119,Chitosan
120,aqueous chitosan solution
121,hydrophilic chitosan layer
122,chitosan coated polyethylene
123,chitosan coatings
124,chitosan coatings
125,chitosan-coated greaseproof paper
126,uncoated PP film
127,Clear-Lite^®
128,CN-C34
129,nanoplatelet
130,Polyethylene
131,Polyethylene
132,Polyethylene glycol
133,Polyethylene glycol
134,Polyethylene glycol 400
135,Polyethylene glycol 400
136,Sodium bicarbonate
137,pre-intercalated compound
138,low viscosity polyester resin
139,bioplastics
