,term
0,Packaging
1,Emballage
2,Blend
3,starch (aw ext 0.536 - aw int 0.762)
4,(30% w/w) glycerol/soluble soybean polysaccharide
5,(20% w/w) glycerol/soluble soybean polysaccharide
6,starch-cellulose nanocrystals (aw ext 0.329 - aw int 0.762)
7,starch-cellulose nanocrystals (aw ext 0.000 - aw int 1.000)
8,starch (aw ext 0.329 - aw int 0.762)
9,(50wt%) Soy protein isolate/ (50wt%) Polylactic Acid
10,starch-cellulose nanocrystals (aw ext 0.329 - aw int 0.536)
11,(0% w/w) glycerol/soluble soybean polysaccharide
12,Polyethylene/Polystyrene Alloy
13,starch (aw ext 0.762 - aw int 1.000)
14,starch (aw ext 0.329 - aw int 0.536)
15,(60wt%) Soy protein isolate/ (40wt%) Polylactic Acid
16,starch-cellulose nanocrystals (aw ext 0.536 - aw int 0.762)
17,starch (aw ext 0.000 - aw int 1.000)
18,(40% w/w) glycerol/soluble soybean polysaccharide
19,starch-cellulose nanocrystals (aw ext 0.762 - aw int 1.000)
20,Emballage multi-couches
21,Emballage multi-couches
22,Multilayers
23,Multilayers
24,Laminar Multilayer Structure
25,Amylouronic acid(COOH)/Polyethylene Terephthalate
26,Modified biaxially oriented polypropylene
27,Modified biaxially oriented polypropylene
28,Chitouronic acid(COOH)/Polyethylene Terephthalate
29,Cellouronic acid(COOH)/Polyethylene Terephthalate
30,Alginic acid(COONH4)/Polyethylene Terephthalate
31,Ecoflex+Ecovio/Ecovio/Ecoflex+Ecovio
32,Cellophane/PLA
33,(Oriented polyamide)/adhesive/polypropylene copolymer
34,Bioska 504 multilayer PLA
35,Cellouronic acid(COONa)/Polyethylene Terephthalate
36,Natureflex/PLA
37,Alginic acid(COONa)/Polyethylene Terephthalate
38,Chitosan/Polyethylene Terephthalate
39,Chitournic acid/Polyethylene Terephthalate
40,PET/SiOx/PA/PP
41,Pectic acid/Polyethylene Terephthalate
42,Amylouronic acid(COONa)/Polyethylene Terephthalate
43,OPET/EVOH/PE
44,multilayered biobased films
45,Multilayer Films with Ethylene-Vinyl Alcohol Copolymer Barrier
46,PET/adhesive/PE
47,Chitosan (dried)/Polyethylene
48,Chitosan (dried)/Polyethylene
49,Chitosan (dried)/Polyethylene
50,Chitosan (dried)/Polyethylene
51,Coated paper with gluten
52,Chitouronic acid(COONa)/Polyethylene Terephthalate
53,multilayered biobased plastics
54,PHB/Ecoflex
55,OPA/adhesive/PE
56,Paper/polyethylene/aluminium/polyethylene
57,Water soluble startch/Polyethylene Terephthalate
58,Microcrystalline cellulose/Polyethylene Terephthalate
59,Amylouronic acid/Polyethylene Terephthalate
60,Hydroxyethyl cellulose/Polyethylene Terephthalate
61,Alginic acid/Polyethylene Terephthalate
62,Chitosan/Polyethylene
63,mixed matrix membranes
64,PES/TiO2 mixed matrix membranes
65,PES/MMT MMMs
66,PES/MMT
67,chitosan coated polyethylene
68,Polyvinyl Alcohol/Polyethylene Terephthalate
69,Gelatin (11.8% w/w)/glycerol (3.9%w/w)/acetic acid ester (5.9%)/polyethylene terephtalate
70,Gelatin (11.8% w/w)/glycerol (3.9% w/w)/acetic acid ester (5.9%)/low-density polyethylene
71,Wheat gluten/paper
72,Cellophane/Metal layer/PLA
73,Chitosan/paper
74,Co-Continuous Lamellae Multilayer Structure
75,Co-Continuous Lamellar Injection Molded Multilayer Structure
76,Carboxymethyl cellulose/Polyethylene Terephthalate
77,Paper/AlOx/PLA
78,multilayer pigmented HDPE
79,Gelatin (11.8% w/w)/glycerol (3.9%w/w)/acetic acid ester (5.9%)/oriented polypropylene
80,Multilayer Films with Polyvinylidene Chloride Barrier
81,Cellouronic acid/Polyethylene Terephthalate
82,Biopolymères
83,Biopolymers
84,Starch(3%m/v)/CarboxymethylCellulose(2%m/v)/Glycerol(1.5 %m/v)
85,Rice flour Josapar S.A +3wt%sorbitol
86,Rice flour Josapar S.A +2wt%sorbitol
87,Starch(5%m/v)/Glycerol(1.5 %m/v)
88,Starch(3.5%m/v)/Gelatin(1.5%m/v)/Glycerol(1.5 %m/v)
89,Biopolyesters
90,(20%wt) wheat straw fibers/Poly(3-hydroxybutyrate-co-3-hydroxyvalerate)
91,Polylactic acid
92,Polylactic acid
