,term
0,O2 permeability method
1,Méthode perméabilité 02
2,Méthode diffusivité
3,Diffusivity method
4,Méthode inconnue
5,Unknown method
6,Thermal property method
7,Méthode propriété thermique
8,time-lag method
9,ASTM standard method
10,ASTM standard method
11,ASTM standard method
12,ASTM E96
13,ASTM E96
14,ASTM E96-80
15,ASTM E96-80
16,ASTM E96-05
17,ASTM E96-05
18,ASTM E96-97
19,ASTM E96-92 method
20,ASTM E96-95
21,ASTM E96-95
22,ASTM E96-00
23,ASTM F
24,ASTM F316-86
25,ASTM F1249 
26,ASTM D
27,ASTM D-3363
28,ASTM D-1434
29,ASTM D3985
30,ASTM D3985
31,ASTM D3985
32,ASTM D3985-02
33,ASTM D3985-95
34,ASTM D3985-95
35,UNE 53097: 2002 standard
36,CO2 permeability method
37,Méthode perméabilité C02
38,Méthode perméabilité C02
39,H2O permeability method
40,Méthode solubiité volatile
41,Solubility method
