,term
0,Blend
1,starch (aw ext 0.536 - aw int 0.762)
2,(30% w/w) glycerol/soluble soybean polysaccharide
3,(20% w/w) glycerol/soluble soybean polysaccharide
4,starch-cellulose nanocrystals (aw ext 0.329 - aw int 0.762)
5,starch-cellulose nanocrystals (aw ext 0.000 - aw int 1.000)
6,starch (aw ext 0.329 - aw int 0.762)
7,(50wt%) Soy protein isolate/ (50wt%) Polylactic Acid
8,starch-cellulose nanocrystals (aw ext 0.329 - aw int 0.536)
9,(0% w/w) glycerol/soluble soybean polysaccharide
10,Polyethylene/Polystyrene Alloy
11,starch (aw ext 0.762 - aw int 1.000)
12,starch (aw ext 0.329 - aw int 0.536)
13,(60wt%) Soy protein isolate/ (40wt%) Polylactic Acid
14,starch-cellulose nanocrystals (aw ext 0.536 - aw int 0.762)
15,starch (aw ext 0.000 - aw int 1.000)
16,(40% w/w) glycerol/soluble soybean polysaccharide
17,starch-cellulose nanocrystals (aw ext 0.762 - aw int 1.000)
18,Emballage multi-couches
19,Emballage multi-couches
20,Multilayers
21,Multilayers
22,Laminar Multilayer Structure
23,Amylouronic acid(COOH)/Polyethylene Terephthalate
24,Modified biaxially oriented polypropylene
25,Modified biaxially oriented polypropylene
26,Chitouronic acid(COOH)/Polyethylene Terephthalate
27,Cellouronic acid(COOH)/Polyethylene Terephthalate
28,Alginic acid(COONH4)/Polyethylene Terephthalate
29,Ecoflex+Ecovio/Ecovio/Ecoflex+Ecovio
30,Cellophane/PLA
31,(Oriented polyamide)/adhesive/polypropylene copolymer
32,Bioska 504 multilayer PLA
33,Cellouronic acid(COONa)/Polyethylene Terephthalate
34,Natureflex/PLA
35,Alginic acid(COONa)/Polyethylene Terephthalate
36,Chitosan/Polyethylene Terephthalate
37,Chitournic acid/Polyethylene Terephthalate
38,PET/SiOx/PA/PP
39,Pectic acid/Polyethylene Terephthalate
40,Amylouronic acid(COONa)/Polyethylene Terephthalate
41,OPET/EVOH/PE
42,multilayered biobased films
43,Multilayer Films with Ethylene-Vinyl Alcohol Copolymer Barrier
44,PET/adhesive/PE
45,Chitosan (dried)/Polyethylene
46,Chitosan (dried)/Polyethylene
47,Chitosan (dried)/Polyethylene
48,Chitosan (dried)/Polyethylene
49,Coated paper with gluten
50,Chitouronic acid(COONa)/Polyethylene Terephthalate
51,multilayered biobased plastics
52,PHB/Ecoflex
53,OPA/adhesive/PE
54,Paper/polyethylene/aluminium/polyethylene
55,Water soluble startch/Polyethylene Terephthalate
56,Microcrystalline cellulose/Polyethylene Terephthalate
57,Amylouronic acid/Polyethylene Terephthalate
58,Hydroxyethyl cellulose/Polyethylene Terephthalate
59,Alginic acid/Polyethylene Terephthalate
60,Chitosan/Polyethylene
61,mixed matrix membranes
62,PES/TiO2 mixed matrix membranes
63,PES/MMT MMMs
64,PES/MMT
65,chitosan coated polyethylene
66,Polyvinyl Alcohol/Polyethylene Terephthalate
67,Gelatin (11.8% w/w)/glycerol (3.9%w/w)/acetic acid ester (5.9%)/polyethylene terephtalate
68,Gelatin (11.8% w/w)/glycerol (3.9% w/w)/acetic acid ester (5.9%)/low-density polyethylene
69,Wheat gluten/paper
70,Cellophane/Metal layer/PLA
71,Chitosan/paper
72,Co-Continuous Lamellae Multilayer Structure
73,Co-Continuous Lamellar Injection Molded Multilayer Structure
74,Carboxymethyl cellulose/Polyethylene Terephthalate
75,Paper/AlOx/PLA
76,multilayer pigmented HDPE
77,Gelatin (11.8% w/w)/glycerol (3.9%w/w)/acetic acid ester (5.9%)/oriented polypropylene
78,Multilayer Films with Polyvinylidene Chloride Barrier
79,Cellouronic acid/Polyethylene Terephthalate
80,Biopolymères
81,Biopolymers
82,Starch(3%m/v)/CarboxymethylCellulose(2%m/v)/Glycerol(1.5 %m/v)
83,Rice flour Josapar S.A +3wt%sorbitol
84,Rice flour Josapar S.A +2wt%sorbitol
85,Starch(5%m/v)/Glycerol(1.5 %m/v)
86,Starch(3.5%m/v)/Gelatin(1.5%m/v)/Glycerol(1.5 %m/v)
87,Biopolyesters
88,(20%wt) wheat straw fibers/Poly(3-hydroxybutyrate-co-3-hydroxyvalerate)
89,Polylactic acid
90,Polylactic acid
91,Polylactic acid
92,Polylactic acid
93,Polylactic acid
94,Polylactic acid
95,Polylactic acid
96,poly(80% l-lactide
97,Oriented polylactic acid
98,Amorphous PLA
99,poly(50% l-lactide
100,poly(98.7% l-lactide
101,Metallized PLA
102,PLA tray
103,PLA(4060D)
104,PLA(4032D)
105,Poly(3-hydroxybutyrate-co-3-hydroxyvalerate)
106,Poly(3-hydroxybutyrate-co-3-hydroxyvalerate)
107,PLA (SH-PLA-19)
108,(20%wt) olive mills/Poly(3-hydroxybutyrate-co-3-hydroxyvalerate)
109,(6%wt) wheat straw fibers/Poly(3-hydroxybutyrate-co-3-hydroxyvalerate)
110,Poly(butylene cyclohexanedicarboxylate55/diglycolate45)
111,Poly(butylene cyclohexanedicarboxylate)
112,Poly(butylene cyclohexanedicarboxylate90/diglycolate10)
113,Poly(butylene cyclohexanedicarboxylate70/diglycolate30)
114,Poly(butylene cyclohexanedicarboxylate40/diglycolate60)
115,Polycaprolactones
116,(30%wt) wheat straw fibers/Poly(3-hydroxybutyrate-co-3-hydroxyvalerate)
117,PLA (270-60-3)
118,Poly(butylene cyclohexanedicarboxylate25/diglycolate75)
119,PLA(4031D)
120,Polylactic acid/Butylated hydroxyanisole/polyethylene glycol 400
121,poly(98% l-lactide)/Polylactic Acid
122,Polyhydroxybutyrate
123,Poly(butylene diglycolate)
124,Poly(butylene cyclohexanedicarboxylate5/diglycolate95)
125,Poly(butylene cyclohexanedicarboxylate80/diglycolate20)
126,poly(94% l-lactide)/Polylactic Acid
127,PLA(4041D)
128,PLA (SH-PLA-43)
129,Polylactic acid/Butylated hydroxyanisole/polyethylene glycol 400/tocopherol
130,(10%wt) wheat straw fibers/Poly(3-hydroxybutyrate-co-3-hydroxyvalerate)
131,Rice flour Josapar S.A +2wt%Glycerol
132,Starch(4%m/v)/Gelatin(1%m/v)/Glycerol(1.5 %m/v)
133,Polysaccharides
134,Chitosan (1% w/v)/glycerol (0.4% w/v)
135,Methylcellulose (3% w/v)/ethanol (50%)/PEG400 (1.32g)
136,Agave fibres
137,(2vol%) oregano oil/quince seed mucilage
138,Flax fibres
139,Methylcellulose (3% w/v)/ethanol (75%)
140,Sisal cellulose whisker film
141,NatureFlex N913
142,(1.5vol%) oregano oil/quince seed mucilage
143,Galactomannan A. pavonina (0.5%w/v)/Glycerol (1.0%v/v)
144,Methylcellulose (4% w/v)/ethanol (50%)
145,Galactomannan C. pulcherima (0.5%w/v)/Glycerol (1.0%v/v)
146,Galactomannan C. pulcherima (0.5%w/v)/Glycerol (2.0%v/v)
147,Flax fibre bundles
148,Chitosan (1% w/v)/stearic acid (0.5% w/v)
149,Methylcellulose (3% w/v)/ethanol (0%)
150,Methylcellulose (3% w/v)/ethanol (50%)/PEG400 (2.64g)
151,Cellophane/Metal layer/PLA
152,Methylcellulose (3% w/v)/ethanol (25%)
153,Chitosan (1% w/v)/sorbitol (0.5% w/v)
154,(0vol%)oregano oil/quince seed mucilage
155,Galactomannan A. pavonina (1.5%w/v)/Glycerol (2.0%v/v)
156,Chitosan (1% w/v)
157,Galactomannan A. pavonina (1.5%w/v)/Glycerol (1.5%v/v)
158,Jute fibre bundles
159,Methylcellulose (3% w/v)/ethanol (67%)/PEG400 (0.66g)
160,Non-woven flax fibre film
161,Methylcellulose (6% w/v)/ethanol (50%)
162,Hemp fibre bundles
163,Methylcellulose (3% w/v)/ethanol (75%)/PEG400 (0.66g)
164,Methylcellulose (3% w/v)/ethanol (50%)/PEG1450 (0.66g)
165,Xylophane B coated on paper
166,Chitosan(Aqueous acid solvent
167,Chitosan(Hydroalcoholic acid solvent)
168,Methylcellulose (1.5% w/v)/ethanol (50%)
169,Methylcellulose (5% w/v)/ethanol (50%)
170,Wheat straw fibre
171,Galactomannan A. pavonina (1.5%w/v)/Glycerol (1.0%v/v)
172,Methylcellulose (3% w/v)/ethanol (50%)/PEG400 (0.66g)
173,Methylcellulose (3% w/v)/ethanol (25%)/PEG400 (0.66g)
174,Xylophane A coated on paper
175,Chitosan (1% w/v)/polethylene glycol (0.6% w/v)
176,Methylcellulose (3% w/v)/ethanol (0%)/PEG400 (0.66g)
177,Chitosan(Aqueous acid solvent)
178,Chitosan(Aqueous acid solvent)
179,Chitosan (3% w/v)/acetic acid (1%v/v)/glycerol(0.25mL/g)
180,Galactomannan C. pulcherima (0.5%w/v)/Glycerol (1.5%v/v)
181,Galactomannan C. pulcherima (1.5%w/v)/Glycerol (2.0%v/v)
182,Methylcellulose (3% w/v)/ethanol (50%)/PEG4000 (0.66g)
183,Methylcellulose (3% w/v)/ethanol (50%)/PEG8000 (0.66g)
184,Galactomannan A. pavonina (1.0%w/v)/Glycerol (1.5%v/v)
185,Methylcellulose (3% w/v)/ethanol (50%)/PEG400 (0.33g)
186,Chitosan (1% w/v)/palmitic acid (0.5% w/v)
187,Starch
188,Methylcellulose (3% w/v)/ethanol (67%)
189,Wheat straw fibre film
190,NatureFlex N931
191,Sisal microfibrillated cellulose films
192,Galactomannan A. pavonina (1.0%w/v)/Glycerol (1.0%v/v)
193,Chitosan (3% w/v)/acetic acid (1%v/v)/glycerol(0.50mL/g)
194,Galactomannan A. pavonina (0.5%w/v)/Glycerol (2.0%v/v)
195,Sisal fibre bundles
196,Methylcellulose (3% w/v)/ethanol (50%)
197,Chitosan(Hydroalcoholic acid solvent
198,Galactomannan A. pavonina (0.5%w/v)/Glycerol (1.5%v/v)
199,(1vol%) oregano oil/quince seed mucilage
200,Starch(4%m/v)/CarboxymethylCellulose(1%m/v)/Glycerol(1.5 %m/v)
201,biobased polymers
202,Starch(4.5%m/v)/CarboxymethylCellulose(0.5%m/v)/Glycerol(1.5 %m/v)
203,Proteins
204,Soy protein isolate
205,Soy protein isolate
206,Soy protein isolate
207,Soy protein isolate
208,Soy protein isolate
209,Soy protein isolate fraction (100<MW<300kDa)
210,Soy protein isolate fraction (MW<100kDa)
211,Soy protein isolate fraction (MW>300kDa)
212,Wheat gluten - unmodified sodium montmorillonite
213,Wheat gluten - organically modified montmorillonite
214,wheat gluten (30%wt glycerol)
215,Wheat gluten (20% glycerol - casting)
216,Wheat gluten
217,(3.8 vol%) Eucalyptus cellulose fibers/Rice flour Josapar S.A +3wt%Glycerol
218,Starch(3%m/v)/Gelatin(2%m/v)/Glycerol(1.5 %m/v)
219,Starch(4.5%m/v)/Gelatin(0.5%m/v)/Glycerol(1.5 %m/v)
220,(3.8 vol%) Eucalyptus cellulose fibers/Rice flour Josapar S.A +3wt%sorbitol
221,Rice flour Josapar S.A +3wt%Glycerol
222,Starch(3.5%m/v)/CarboxymethylCellulose(1.5%m/v)/Glycerol(1.5 %m/v)
223,(3.8 vol%) Eucalyptus cellulose fibers/Rice flour Josapar S.A +2wt%sorbitol
224,(3.8 vol%) Eucalyptus cellulose fibers/Rice flour Josapar S.A +2wt%Glycerol
225,Composites
226,Composites
227,(1wt%)Ag/Polylactic Acid
228,Maleic Anhydride Grafted Linear Low Density Polyethylene
229,(20%wt) olive mills/Poly(3-hydroxybutyrate-co-3-hydroxyvalerate)
230,Nanocomposites
231,(Polyacrylamide/Sodium Montmorillonite)10- Polyethylene terephthalate
232,LLDPE/0.54 v/v % Cloisite 20 A
233,(1wt%) Methyl tallow bis-2-hydroxyethyl quaternary ammonium chloride montmorillonite polyester
234,(2.75 vol%) Multi-walled carbon nanotube/Polyethersulfone
235,(Polyacrylamide/Sodium Montmorillonite)20- Polyethylene terephthalate
236,(1.5 vol%) Multi-walled carbon nanotube/Poly(ether-block-amide) Crosslinked PEBAX 1657
237,(6wt%)Cloisite 30B/PLA(4060D)
238,(1.5 vol%) Multi-walled carbon nanotube/Poly(ether-block-amide) PEBAX 1657
239,(4wt%)Cloisite 30B/PLA(4032D)
240,LLDPE/1.9 v/v % Cloisite 20 A
241,(Chitosan/Lambda-Carrageenan/Chitosan/Sodium Montmorillonite)10_Poly(ethylene terephthalate)
242,(3.9 vol%) Multi-walled carbon nanotube/Poly(ether-block-amide) Crosslinked PEBAX 1657
243,(5wt%)Cloisite 30B/PLA(4032D)
244,(5wt%)Cloisite 30B/PLA(4060D)
245,(5%)Cloisite 20A/Polylactic Acid
246,(Polyacrylamide/Sodium Montmorillonite)5- Polyethylene terephthalate
247,starch-cellulose nanocrystals (aw ext 0.536 - aw int 0.762)
248,(0.914 vol%) Multi-walled carbon nanotube/Polyethersulfone
249,(1wt%)Modified cellulose nanocrystals/(1wt%)Ag/Polylactic Acid
250,starch-cellulose nanocrystals (aw ext 0.762 - aw int 1.000)
251,(6.6 vol%) Single-walled carbon nanotube/Poly(dimethylsiloxane)
252,(4.3 vol%) Single-walled carbon nanotube/Poly(sulfone)
253,(2wt%)Cloisite 30B/PLA(4060D)
254,(13.1 vol%) Single-walled carbon nanotube/Poly(sulfone)
255,(2.5wt%) Methyl tallow bis-2-hydroxyethyl quaternary ammonium chloride montmorillonite polyester
256,(0.457 vol%) Multi-walled carbon nanotube/Polyethersulfone
257,(Polyetylenimine pH8/Montmorillonite)40- Polyethylene terephthalate
258,(Polyacrylamide/Sodium Montmorillonite)15- Polyethylene terephthalate
259,(10wt%) Methyl tallow bis-2-hydroxyethyl quaternary ammonium chloride montmorillonite polyester
260,LLDPE/2.4 v/v % Cloisite 20 A
261,(4%Nanoter) Polyhydroxybutyrate
262,(1wt%)Cellulose nanocrystals/(1wt%)Ag/Polylactic Acid
263,Wheat gluten - unmodified sodium montmorillonite
264,starch-cellulose nanocrystals (aw ext 0.000 - aw int 1.000)
265,(4.6wt%) Dimethylbis(hydrogenated-tallow) ammonium montmorillonite (9.0wt%) Maleic anhydride grafted polyethylene (91wt%) Linear Low Density Polyethylene
266,(3wt%)Cloisite 30B/PLA(4060D)
267,(Polyetylenimine pH7/Montmorillonite)40- Polyethylene terephthalate
268,(2wt%)Cloisite 30B/PLA(4032D)
269,(6wt%)Cloisite 30B/PLA(4032D)
270,(3wt%)Cloisite 30B/PLA(4032D)
271,(1.83 vol%) Multi-walled carbon nanotube/Polyethersulfone
272,starch-cellulose nanocrystals (aw ext 0.329 - aw int 0.762)
273,(Chitosan/Sodium Montmorillonite/Lambda-Carrageenan)10_Poly(ethylene terephthalate)
274,(3.9 vol%) Multi-walled carbon nanotube/Poly(ether-block-amide) PEBAX 1657
275,(8.7 vol%) Single-walled carbon nanotube/Poly(sulfone)
276,(1wt%)Cloisite 30B/PLA(4060D)
277,(Polyacrylamide/Sodium Montmorillonite)25- Polyethylene terephthalate
278,LLDPE/1.5 v/v % Cloisite 20 A
279,(4%Nanoter) Polyhydroxybutyrate/Polycaprolactones
280,LLDPE/1 v/v % Cloisite 20 A
281,(Polyacrylamide/Sodium Montmorillonite)30- Polyethylene terephthalate
282,Wheat gluten - organically modified montmorillonite
283,(5wt%)Modified cellulose nanocrystals/(1wt%)Ag/Polylactic Acid
