,term
0,Protect environment
1,Protège l'environnement
2,Can see
3,Permet de voir
4,Concentrate smell
5,Concentre les odeurs
6,Non nocif
7,Not harmful
8,Ne permet de voir
9,Cannot see
10,Nocif
11,Harmful
12,N’incite pas à manger
13,Do not incite to eat
14,Ne contient pas d’aérations
15,Do not contain aerations
16,Préservation du goût
17,Protect flavor
18,Recyclable
19,Recyclable
20,Non réutilisable
21,Not reusable
22,Incite à manger
23,Incite to eat
24,Good fridge conservation
25,Bonne conservation au réfrigérateur
26,Bonne conservation à l'air ambiant
27,Good ambiant conservation
28,Permet de sentir
29,Can smell
30,Mauvaise conservation au réfrigérateur
31,No good fridge conservation
32,Pas de condensation
33,No condensation
34,Contient des aérations
35,Contain aerations
36,Ne protège pas de l'environnement
37,Do not protect environment
38,Non recyclable
39,Not recyclable
40,Pas de préservation du goût
41,Do not Protect flavor
42,No shocks protection
43,Pas de protection des chocs
44,Réutilisable
45,Reusable
46,Cannot smell
47,Ne permet de sentir
48,Condensation
49,Condensation
50,No good ambiant conservation
51,Mauvaise conservation à l'air ambiant
52,Protection des chocs
53,Shocks protection
54,Do not concentrate smell
55,Ne concentre pas les odeurs
