,Concept,Unit
0,h2o_permeability,gram by reciprocal meter by reciprocal hour by reciprocal pascal
1,h2o_permeability,gram by reciprocal meter by reciprocal day by reciprocal kilopascal
2,h2o_permeability,mole per square meter per second per pascal
3,h2o_permeability,gram by reciprocal meter by reciprocal second by reciprocal pascal
4,h2o_permeability,cubic centimeter by reciprocal meter by reciprocal day by reciprocal atmosphere
5,h2o_permeability,gram by reciprocal 100 square inch by reciprocal day
6,h2o_permeability,femtoliter by meter by reciprocal square meter by reciprocal second by reciprocal pascal
7,h2o_permeability,new permeability unit
8,h2o_permeability,kilogram by meter by reciprocal square meter by reciprocal second by reciprocal pascal
9,h2o_permeability,cubic centimeter by millimeter by reciprocal square meter by reciprocal day by reciprocal atmosphere
10,h2o_permeability,new h2o permeability unit
11,h2o_permeability,cubic centimeter by reciprocal square meter by reciprocal day by reciprocal bar
12,h2o_permeability,gram by reciprocal meter by reciprocal day by reciprocal pascal
13,h2o_permeability,gram by millimeter by reciprocal day by reciprocal square meter by reciprocal atmosphere
14,h2o_permeability,cubic centimeter by reciprocal square meter by reciprocal day
15,h2o_permeability,cubic centimeter per 100 square inch per day
16,h2o_permeability,gram by reciprocal meter by reciprocal day by reciprocal atmosphere
17,h2o_permeability,cubic centimeter by centimeter by reciprocal square centimeter by reciprocal second by reciprocal centimeter mercury
18,h2o_permeability,uri 1e-10 by cubic centimeter by centimeter per square centimeter per second per centimeter mercury
19,h2o_permeability,cubic meter by meter by reciprocal square meter by reciprocal second by reciprocal pascal
20,h2o_permeability,gram by millimeter by reciprocal day by reciprocal square meter by reciprocal millimeter mercury
21,h2o_permeability,cubic centimeter by reciprocal square meter by reciprocal day by reciprocal pascal
22,h2o_permeability,gram by milliinch by reciprocal square meter by reciprocal day
23,h2o_permeability,gram by reciprocal square meter by reciprocal day
24,h2o_permeability,mole by micrometer by reciprocal square centimeter by reciprocal second by reciprocal atmosphere
25,h2o_permeability,milliliter per meter per second per pascal
26,h2o_permeability,milliliter per square meter per 24hours per bar
27,h2o_permeability,cubic centimeter by reciprocal meter by reciprocal day by reciprocal kilopascal
28,h2o_permeability,milliliter per 100 square inch per day
29,h2o_permeability,cubic centimeter by milliinch by reciprocal square meter by reciprocal day by reciprocal atmosphere
30,h2o_permeability,cubic centimeter by centimeter by reciprocal square centimeter by reciprocal second by reciprocal pascal
31,h2o_permeability,cubic centimeter by micrometer by reciprocal square centimeter by reciprocal day by reciprocal kilopascal
32,h2o_permeability,cubic centimeter by micrometer by reciprocal square meter by reciprocal day by reciprocal kilopascal
33,h2o_permeability,cubic centimeter by reciprocal meter by reciprocal second by reciprocal pascal
34,h2o_permeability,cubic centimeter by reciprocal square meter by reciprocal day by reciprocal atmosphere
35,h2o_permeability,milliliter by reciprocal square meter by reciprocal day by reciprocal atmosphere
36,h2o_permeability,cubic centimeter by micrometer by reciprocal square meter by reciprocal day by reciprocal atmosphere
37,h2o_permeability,attomole per meter per second per pascal
38,h2o_permeability,mole per meter per second per pascal
39,h2o_permeability,mol / m / s / Pa
40,h2o_permeability,mol.m.m-2.s-1.Pa-1
41,h2o_permeability,cm3 µm cm-2 d-1 kPa-1
42,h2o_permeability,cm^3 mm / (m^2 24 h atm)
43,h2o_permeability,cm3.m-1.s-1.Pa-1
44,h2o_permeability,cm3.m-2.day-1
45,h2o_permeability,cm3.100in-2.day-1
46,h2o_permeability,ml / m / s / Pa
47,h2o_permeability,cm3.m-1.d-1.kPa-1
48,h2o_permeability,amol.m-1.s-1.Pa-1
49,h2o_permeability,cm3 m-2 day-1 atm-1
50,h2o_permeability,cm^3 m / m^2 day kPa
51,h2o_permeability,cm3.µm.m-2.d-1.atm-1
52,h2o_permeability,m3.m.m-2.s-1.Pa-1
53,h2o_permeability,mol m^-1 s^-1 Pa^-1
54,h2o_permeability,mol.m-1.s-1.Pa-1
55,h2o_permeability,fl.m.m-2.s-1.Pa-1
56,h2o_permeability,cm3.cm.cm-2.s-1.Pa-1
57,h2o_permeability,g / m s Pa
58,h2o_permeability,cm3 / (m.s.Pa)
59,h2o_permeability,g m^-1 s^-1 Pa^-1
60,h2o_permeability,cm^3 / m^2 / 10^5 Pa / day
61,h2o_permeability,cm3.µm.m-2.day-1.atm-1
62,h2o_permeability,cm3.m-2.day-1.Pa-1
63,h2o_permeability,cm^3 cm / cm^2 s Pa
64,h2o_permeability,g.mm.day-1.m-2.atm-1
65,h2o_permeability,cm3 m-2 day-1 bar-1
66,h2o_permeability,m^3 m / m^2 s Pa
67,h2o_permeability,mol m^-1 Pa^-1 s^-1
68,h2o_permeability,m3.m / (m2.s.Pa)
69,h2o_permeability,cm3.µm / cm2 / d / kPa
70,h2o_permeability,cm^3 (STP) cm / cm^2 s cmHg)
71,h2o_permeability,mol µm cm-2 s-1 atm-1
72,h2o_permeability,cc / m^2 × day
73,h2o_permeability,cm3 / m / s / Pa
74,h2o_permeability,g m / m^2 s Pa
75,h2o_permeability,mol.µm.cm-2.s-1.atm-1
76,h2o_permeability,g m / m^2 Pa s
77,h2o_permeability,cm3.mm.m-2.day-1.atm-1
78,h2o_permeability,ml / 100in2 / day
79,h2o_permeability,amol / m / s / Pa
80,h2o_permeability,g.100in-2.day-1
81,h2o_permeability,cm3.µm.m-2.day-1.kPa-1
82,h2o_permeability,mol.m-2.s-1.Pa-1
83,h2o_permeability,g.m-1.day-1.Pa-1
84,h2o_permeability,g m^-1 s^-1 Pa
85,h2o_permeability,g m (Pa s m^2)^-1
86,h2o_permeability,g m / m^2 day kPa
87,h2o_permeability,cc m-2 24h-1 Pa-1
88,h2o_permeability,g.m-1.d-1.Pa-1
89,h2o_permeability,g d^-1 Pa^-1 m^-1
90,h2o_permeability,cm^3 / (m^2 atm day)
91,h2o_permeability,cc m-2 24h-1
92,h2o_permeability,cm3 m-2 day-1 Pa-1
93,h2o_permeability,cm3.m-2.day-1.bar-1
94,h2o_permeability,g / m^2 s
95,h2o_permeability,kg m^-2 s^-1
96,h2o_permeability,g.m-1.h-1.Pa-1
97,h2o_permeability,mol m-2 s-1 Pa-1
98,h2o_permeability,g.m-1.d-1.kPa-1
99,h2o_permeability,g / m^2 / day
100,h2o_permeability,cc mil m-2 day-1 atm-1
101,h2o_permeability,kg.m.m-2.s-1.pa-1
102,h2o_permeability,cm3.m-1.d-1.atm-1
103,h2o_permeability,cc m-2 24h-1 bar-1
104,h2o_permeability,g.m-1.d-1.atm-1
105,h2o_permeability,g.m-2.day-1
106,h2o_permeability,cm^3 (STP) cm / cm^2 s cm Hg)
107,h2o_permeability,g.mm.day-1.m-2.mmHg-1
108,h2o_permeability,g.h-1.m-1.Pa-1
109,h2o_permeability,cm3.cm.cm-2.s-1.cmHg-1
110,h2o_permeability,g m^-2 day^-1
111,h2o_permeability,cm^3 μm / m^2 day mmHg
112,h2o_permeability,cm^3 (STP) cm / cm^2 s cmHg
113,h2o_permeability,cm^3 / m s Pa
114,h2o_permeability,cm^3 mm / (day m^2 atm)
115,h2o_permeability,cc m / m^2 day atm
116,h2o_permeability,g.mm.m-2.day-1.atm-1
117,h2o_permeability,mol / m2 / s / Pa
118,h2o_permeability,cm3.m-2.day-1.atm-1
119,h2o_permeability,ng m / m^2 s Pa
120,h2o_permeability,cm^3 mm / (m^2 atm day)
121,h2o_permeability,g.m-1.s-1.Pa-1
122,h2o_permeability,gr mil m-2 day-1
123,h2o_permeability,mol m m-2 s-1 Pa-1
124,h2o_permeability,cm3.μm.cm-2.day-1.kPa-1
125,h2o_permeability,g.m-1.hr-1.Pa-1
126,h2o_permeability,cc 100in-2 day-1
127,h2o_permeability,g m / m^2 day atm
128,h2o_permeability,g mm / kPa min m^2
129,h2o_permeability,g / m day atm
130,h2o_permeability,cm3 m-2 day-1
131,h2o_permeability,cm3 µm m-2 d-1 kPa-1
132,h2o_permeability,cc m-2 24h-1 atm-1
133,stress_at_break_number_of_repetitions,one
134,stress_at_break_number_of_repetitions,None
135,thickness,centimeter
136,thickness,nanometer
137,thickness,yoctometer
138,thickness,decimeter
139,thickness,zeptometer
140,thickness,millimeter
141,thickness,micrometer
142,thickness,milliinch
143,thickness,femtometer
144,thickness,meter
145,thickness,picometer
146,thickness,mm
147,thickness,fm
148,thickness,dm
149,thickness,m
150,thickness,ym
151,thickness,nm
152,thickness,pm
153,thickness,cm
154,thickness,mil
155,thickness,zm
156,thickness,μm
157,salt_qty,one
158,salt_qty,percent
159,salt_qty,gram per hectogram
160,salt_qty,None
161,salt_qty,wt %
162,salt_qty,g / 100g
163,salt_qty,Percentage
164,salt_qty,%
165,salt_qty,Gram per hundred gram
166,offset_temperature_number_of_repetitions,one
167,offset_temperature_number_of_repetitions,None
168,initial_grip_distance,centimeter
169,initial_grip_distance,nanometer
170,initial_grip_distance,decimeter
171,initial_grip_distance,millimeter
172,initial_grip_distance,micrometer
173,initial_grip_distance,milliinch
174,initial_grip_distance,meter
175,initial_grip_distance,inch
176,initial_grip_distance,mm
177,initial_grip_distance,dm
178,initial_grip_distance,m
179,initial_grip_distance,nm
180,initial_grip_distance,cm
181,initial_grip_distance,mil
182,initial_grip_distance,in
183,initial_grip_distance,μm
184,o2_permeability,gram by reciprocal meter by reciprocal hour by reciprocal pascal
185,o2_permeability,gram by reciprocal meter by reciprocal day by reciprocal kilopascal
186,o2_permeability,mole per square meter per second per pascal
187,o2_permeability,gram by reciprocal meter by reciprocal second by reciprocal pascal
188,o2_permeability,cubic centimeter by reciprocal meter by reciprocal day by reciprocal atmosphere
189,o2_permeability,gram by reciprocal 100 square inch by reciprocal day
190,o2_permeability,femtoliter by meter by reciprocal square meter by reciprocal second by reciprocal pascal
191,o2_permeability,new permeability unit
192,o2_permeability,kilogram by meter by reciprocal square meter by reciprocal second by reciprocal pascal
193,o2_permeability,cubic centimeter by millimeter by reciprocal square meter by reciprocal day by reciprocal atmosphere
194,o2_permeability,cubic centimeter by reciprocal square meter by reciprocal day by reciprocal bar
195,o2_permeability,gram by reciprocal meter by reciprocal day by reciprocal pascal
196,o2_permeability,gram by millimeter by reciprocal day by reciprocal square meter by reciprocal atmosphere
197,o2_permeability,cubic centimeter by reciprocal square meter by reciprocal day
198,o2_permeability,cubic centimeter per 100 square inch per day
199,o2_permeability,gram by reciprocal meter by reciprocal day by reciprocal atmosphere
200,o2_permeability,cubic centimeter by centimeter by reciprocal square centimeter by reciprocal second by reciprocal centimeter mercury
201,o2_permeability,uri 1e-10 by cubic centimeter by centimeter per square centimeter per second per centimeter mercury
