,Relation,Concept,OntoProcess
0,rrmax_relation,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
1,rrmax_relation,rrmax,http://opendata.inra.fr/resources/hSC9z#rrmax
2,ea_relation,ea,http://opendata.inra.fr/resources/hSC9z#ea
3,ea_relation,temperature_range,http://opendata.inra.fr/resources/hSC9z#temperature_range
4,impact_strength_relation,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
5,impact_strength_relation,width,http://opendata.inra.fr/resources/hSC9z#width
6,impact_strength_relation,relative_humidity,http://opendata.inra.fr/resources/hSC9z#relative_humidity
7,impact_strength_relation,impact_strength,http://opendata.inra.fr/resources/hSC9z#impact_strength
8,impact_strength_relation,thickness,http://opendata.inra.fr/resources/hSC9z#thickness
9,o2_permeability_relation,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
10,o2_permeability_relation,o2_permeability,http://opendata.inra.fr/resources/hSC9z#o2_permeability
11,o2_permeability_relation,partial_pressure,http://opendata.inra.fr/resources/hSC9z#partial_pressure
12,o2_permeability_relation,relative_humidity,http://opendata.inra.fr/resources/hSC9z#relative_humidity
13,o2_permeability_relation,partial_pressure_difference,http://opendata.inra.fr/resources/hSC9z#partial_pressure_difference
14,o2_permeability_relation,thickness,http://opendata.inra.fr/resources/hSC9z#thickness
15,o2_permeability_relation,number_of_repetitions,http://opendata.inra.fr/resources/hSC9z#number_of_repetitions
16,tonset_temperature_relation,onset_temperature,http://opendata.inra.fr/resources/hSC9z#onset_temperature
17,tonset_temperature_relation,heating_ramp,http://opendata.inra.fr/resources/hSC9z#heating_ramp
18,tonset_temperature_relation,onset_temperature_number_of_repetitions,http://opendata.inra.fr/resources/hSC9z#onset_temperature_number_of_repetitions
19,thermal_properties,default_quantity_result,http://opendata.inra.fr/resources/hSC9z#default_quantity_result
20,gab_h2o_solubility_relation_xm,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
21,gab_h2o_solubility_relation_xm,gab_xm,http://opendata.inra.fr/resources/hSC9z#gab_xm
22,crystallization_point_temperature_relation,cooling_ramp,http://opendata.inra.fr/resources/hSC9z#cooling_ramp
23,crystallization_point_temperature_relation,crystallization_point_temperature_number_of_repetitions,http://opendata.inra.fr/resources/hSC9z#crystallization_point_temperature_number_of_repetitions
24,crystallization_point_temperature_relation,crystallization_point_temperature,http://opendata.inra.fr/resources/hSC9z#crystallization_point_temperature
25,rq_relation,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
26,rq_relation,rq,http://opendata.inra.fr/resources/hSC9z#rq
27,co2_permeability_relation,thickness,http://opendata.inra.fr/resources/hSC9z#thickness
28,co2_permeability_relation,number_of_repetitions,http://opendata.inra.fr/resources/hSC9z#number_of_repetitions
29,co2_permeability_relation,co2_permeability,http://opendata.inra.fr/resources/hSC9z#co2_permeability
30,co2_permeability_relation,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
31,co2_permeability_relation,partial_pressure_difference,http://opendata.inra.fr/resources/hSC9z#partial_pressure_difference
32,co2_permeability_relation,relative_humidity,http://opendata.inra.fr/resources/hSC9z#relative_humidity
33,co2_permeability_relation,partial_pressure,http://opendata.inra.fr/resources/hSC9z#partial_pressure
34,optimal_concentration_relation,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
35,optimal_concentration_relation,concentration,http://opendata.inra.fr/resources/hSC9z#concentration
36,argumentation_relation,argument_number,http://opendata.inra.fr/resources/hSC9z#argument_number
37,gab_h2o_solubility_relation_k,gab_k,http://opendata.inra.fr/resources/hSC9z#gab_k
38,gab_h2o_solubility_relation_k,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
39,matrix_properties_acetic_acid_qty,acetic_acid_qty,http://opendata.inra.fr/resources/hSC9z#acetic_acid_qty
40,matrix_physico_chemical_properties,default_quantity_result,http://opendata.inra.fr/resources/hSC9z#default_quantity_result
41,rrref_relation,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
42,rrref_relation,rrref,http://opendata.inra.fr/resources/hSC9z#rrref
43,matrix_aging_relation,duration,http://opendata.inra.fr/resources/hSC9z#duration
