,Relation,Concept,OntoProcess
0,volatil_solubility_relation,method,http://opendata.inra.fr/resources/hSC9z#method
1,volatil_solubility_relation,matrix,http://opendata.inra.fr/resources/hSC9z#matrix
2,volatil_solubility_relation,volatil,http://opendata.inra.fr/resources/hSC9z#volatil
3,elongation_at_break_relation,matrix_orientation,http://opendata.inra.fr/resources/hSC9z#matrix_orientation
4,tonset_temperature_relation,gaz,http://opendata.inra.fr/resources/hSC9z#gaz
5,tonset_temperature_relation,thermal_property_method,http://opendata.inra.fr/resources/hSC9z#thermal_property_method
6,matrix_properties_ph,matrix,http://opendata.inra.fr/resources/hSC9z#matrix
7,gab_h2o_solubility_relation_k,solubility_method,http://opendata.inra.fr/resources/hSC9z#solubility_method
8,gab_h2o_solubility_relation_k,matrix,http://opendata.inra.fr/resources/hSC9z#matrix
9,co2_permeability_relation,method,http://opendata.inra.fr/resources/hSC9z#method
10,crystallization_point_temperature_relation,thermal_property_method,http://opendata.inra.fr/resources/hSC9z#thermal_property_method
11,matrix_properties_proteolysis,matrix,http://opendata.inra.fr/resources/hSC9z#matrix
12,ea_relation,measure_type,http://opendata.inra.fr/resources/hSC9z#measure_type
13,ea_relation,matrix,http://opendata.inra.fr/resources/hSC9z#matrix
14,gab_h2o_solubility_relation_c,matrix,http://opendata.inra.fr/resources/hSC9z#matrix
15,gab_h2o_solubility_relation_c,solubility_method,http://opendata.inra.fr/resources/hSC9z#solubility_method
16,argumentation_relation,stakeholder,http://opendata.inra.fr/resources/hSC9z#stakeholder
17,argumentation_relation,food_products,http://opendata.inra.fr/resources/hSC9z#food_products
18,argumentation_relation,decision,http://opendata.inra.fr/resources/hSC9z#decision
19,argumentation_relation,argument_type,http://opendata.inra.fr/resources/hSC9z#argument_type
20,argumentation_relation,selection_criterion,http://opendata.inra.fr/resources/hSC9z#selection_criterion
21,optimal_concentration_relation,matrix,http://opendata.inra.fr/resources/hSC9z#matrix
22,optimal_concentration_relation,molecule,http://opendata.inra.fr/resources/hSC9z#molecule
23,matrix_properties_protein_qty,matrix,http://opendata.inra.fr/resources/hSC9z#matrix
